,Name,Longitudinal Bar Material,Tie Bar Material,Top Cover,Bottom Cover,Top I-End Area,Top J-End Area,Bottom I-End Area,Bottom J-End Area
0,B253,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
1,B34,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
2,B35,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
3,B36,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
4,B45,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
5,B46,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
6,B47,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
7,G253,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
8,G34,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
9,G35,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
10,G36,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
11,G45,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
12,G457,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
13,G46,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
14,G47,420MPA,420MPA,0.06,0.06,0.0,0.0,0.0,0.0
15,G457-1,420MPA,420MPA,0.06,0.06,4.9417252440967445,4.9417252440967445,2.6609289775905545,2.6609289775905545
16,G47-1,420MPA,420MPA,0.06,0.06,3.801327110843649,3.801327110843649,2.6609289775905545,2.6609289775905545
17,G457-2,420MPA,420MPA,0.06,0.06,3.801327110843649,3.801327110843649,2.280796266506189,2.280796266506189
18,G46-1,420MPA,420MPA,0.06,0.06,3.801327110843649,3.801327110843649,1.9006635554218245,1.9006635554218245
19,G47-2,420MPA,420MPA,0.06,0.06,3.4211943997592846,3.4211943997592846,2.280796266506189,2.280796266506189
20,G46-2,420MPA,420MPA,0.06,0.06,3.4211943997592846,3.4211943997592846,1.9006635554218245,1.9006635554218245
21,G47-3,420MPA,420MPA,0.06,0.06,3.0410616886749193,3.0410616886749193,1.5205308443374597,1.5205308443374597
22,G457-3,420MPA,420MPA,0.06,0.06,3.0410616886749193,3.0410616886749193,1.5205308443374597,1.5205308443374597
23,G47-4,420MPA,420MPA,0.06,0.06,2.6609289775905545,2.6609289775905545,2.280796266506189,2.280796266506189
24,G46-3,420MPA,420MPA,0.06,0.06,2.6609289775905545,2.6609289775905545,1.5205308443374597,1.5205308443374597
25,B47-1,420MPA,420MPA,0.06,0.06,1.701172421918873,1.701172421918873,1.4176436849323941,1.4176436849323941
26,G46-4,420MPA,420MPA,0.06,0.06,2.280796266506189,2.280796266506189,1.9006635554218245,1.9006635554218245
27,B36-1,420MPA,420MPA,0.06,0.06,1.701172421918873,1.701172421918873,1.1341149479459152,1.1341149479459152
28,G47-5,420MPA,420MPA,0.06,0.06,2.280796266506189,2.280796266506189,1.1403981332530946,1.1403981332530946
29,G34-1,420MPA,420MPA,0.06,0.06,2.280796266506189,2.280796266506189,1.5205308443374597,1.5205308443374597
30,G35-1,420MPA,420MPA,0.06,0.06,2.280796266506189,2.280796266506189,1.5205308443374597,1.5205308443374597
31,B45-1,420MPA,420MPA,0.06,0.06,1.4176436849323941,1.4176436849323941,0.8505862109594365,0.8505862109594365
32,G36-1,420MPA,420MPA,0.06,0.06,1.9006635554218245,1.9006635554218245,1.1403981332530946,1.1403981332530946
33,B36-2,420MPA,420MPA,0.06,0.06,1.1341149479459152,1.1341149479459152,0.8505862109594365,0.8505862109594365
34,G47-6,420MPA,420MPA,0.06,0.06,1.5205308443374597,1.5205308443374597,1.9006635554218245,1.9006635554218245
35,B46-1,420MPA,420MPA,0.06,0.06,1.1341149479459152,1.1341149479459152,1.1341149479459152,1.1341149479459152
36,G45-1,420MPA,420MPA,0.06,0.06,1.5205308443374597,1.5205308443374597,1.1403981332530946,1.1403981332530946
37,B36-3,420MPA,420MPA,0.06,0.06,1.1341149479459152,1.1341149479459152,0.8505862109594365,0.8505862109594365
38,G35-2,420MPA,420MPA,0.06,0.06,1.5205308443374597,1.5205308443374597,1.1403981332530946,1.1403981332530946
39,G34-2,420MPA,420MPA,0.06,0.06,1.5205308443374597,1.5205308443374597,1.1403981332530946,1.1403981332530946
40,G46-5,420MPA,420MPA,0.06,0.06,1.5205308443374597,1.5205308443374597,0.7602654221687298,0.7602654221687298
41,B253-1,420MPA,420MPA,0.06,0.06,1.1341149479459152,1.1341149479459152,0.5670574739729576,0.5670574739729576
42,G36-2,420MPA,420MPA,0.06,0.06,1.5205308443374597,1.5205308443374597,0.7602654221687298,0.7602654221687298
43,G47-7,420MPA,420MPA,0.06,0.06,1.1403981332530946,1.1403981332530946,3.0410616886749193,3.0410616886749193
44,G46-6,420MPA,420MPA,0.06,0.06,1.1403981332530946,1.1403981332530946,1.9006635554218245,1.9006635554218245
45,G36-3,420MPA,420MPA,0.06,0.06,1.1403981332530946,1.1403981332530946,0.7602654221687298,0.7602654221687298
46,G47-8,420MPA,420MPA,0.06,0.06,1.1403981332530946,1.1403981332530946,1.1403981332530946,1.1403981332530946
47,G457-4,420MPA,420MPA,0.06,0.06,1.1403981332530946,1.1403981332530946,1.1403981332530946,1.1403981332530946
48,B34-1,420MPA,420MPA,0.06,0.06,0.8505862109594365,0.8505862109594365,1.1341149479459152,1.1341149479459152
49,G253-1,420MPA,420MPA,0.06,0.06,1.1403981332530946,1.1403981332530946,1.1403981332530946,1.1403981332530946
50,G46-7,420MPA,420MPA,0.06,0.06,0.7602654221687298,0.7602654221687298,1.1403981332530946,1.1403981332530946
51,G36-4,420MPA,420MPA,0.06,0.06,0.7602654221687298,0.7602654221687298,1.1403981332530946,1.1403981332530946
52,G45-2,420MPA,420MPA,0.06,0.06,0.7602654221687298,0.7602654221687298,0.7602654221687298,0.7602654221687298
