,Name,Material,From File?,File Name,Section in File,Depth,Width,Rigid Zone?,Notional Size Type,Notional Auto Factor,Notional User Size,Area Modifier,As2 Modifier,As3 Modifier,J Modifier,I22 Modifier,I33 Modifier,Mass Modifier,Weight Modifier,Color,GUID,Notes
0,B253,25 MPA,No,,,0.3,0.25,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8454143,87018b6b-9f24-4dc5-bb67-a10c18c892ba,
1,B34,25 MPA,No,,,0.4,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8421440,7b242a1c-436a-4ae3-9188-6c68ecb2180e,
2,B35,25 MPA,No,,,0.5,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,16744448,e2c0778e-c206-4bc7-92fa-524fa7f91d62,
3,B36,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,Orange,e310bb4b-4255-4537-8f57-74700124d38d,
4,B45,25 MPA,No,,,0.5,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8404992,f53cb44a-55b0-4645-9d46-f12745315ee6,
5,B46,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,DarkRed,8df897b1-7415-4976-b07b-452b177e80ff,
6,B47,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8388863,911a0bed-aaf9-490a-b99b-5cddb6494217,
7,G253,25 MPA,No,,,0.3,0.25,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8454143,7d24d83e-b3ab-496e-8304-4bdd90b15989,
8,G34,25 MPA,No,,,0.4,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8421440,4fc4e634-c444-4948-a02d-556257422c64,
9,G35,25 MPA,No,,,0.5,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,16744448,b433c7fd-3433-4f93-8ebc-a2a4fe1aacb2,
10,G36,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,Orange,d3c2f1f6-3382-428c-b314-1a1fa3a8ec14,
11,G45,25 MPA,No,,,0.5,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8404992,485a70c0-44cd-4686-baae-04f6045ce689,
12,G457,25 MPA,No,,,0.7,0.45,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8388672,df58b32b-2be9-4287-aa31-9f3adf8287da,
13,G46,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,DarkRed,40fcd321-38a4-4466-a691-0b73c94f39ca,
14,G47,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,8388863,f63da6ef-f0f3-4c9e-a4ae-1fb7ed638e64,
15,K37,25 MPA,No,,,0.7,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,Red,94e03e1d-0fc3-4942-a2fc-2ea816214b02,
16,K47,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,9174807,ed629d82-9936-4823-880d-a50f5edd1b8d,
17,K77,25 MPA,No,,,0.7,0.7,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,Blue,18266634-a0c8-4017-9e00-dbd2462ccb5b,
18,G457-1,25 MPA,No,,,0.7,0.45,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
19,G47-1,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
20,G457-2,25 MPA,No,,,0.7,0.45,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
21,G46-1,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
22,G47-2,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
23,G46-2,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
24,G47-3,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
25,G457-3,25 MPA,No,,,0.7,0.45,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
26,G47-4,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
27,G46-3,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
28,B47-1,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
29,G46-4,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
30,B36-1,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
31,G47-5,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
32,G34-1,25 MPA,No,,,0.4,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
33,G35-1,25 MPA,No,,,0.5,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
34,B45-1,25 MPA,No,,,0.5,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
35,G36-1,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
36,B36-2,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
37,G47-6,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
38,B46-1,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
39,G45-1,25 MPA,No,,,0.5,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
40,B36-3,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
41,G35-2,25 MPA,No,,,0.5,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
42,G34-2,25 MPA,No,,,0.4,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
43,G46-5,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
44,B253-1,25 MPA,No,,,0.3,0.25,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
45,G36-2,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
46,G47-7,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
47,G46-6,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
48,G36-3,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
49,G47-8,25 MPA,No,,,0.7,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
50,G457-4,25 MPA,No,,,0.7,0.45,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
51,B34-1,25 MPA,No,,,0.4,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
52,G253-1,25 MPA,No,,,0.3,0.25,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
53,G46-7,25 MPA,No,,,0.6,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
54,G36-4,25 MPA,No,,,0.6,0.3,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
55,G45-2,25 MPA,No,,,0.5,0.4,No,Auto,1,,1,1,1,0.7,0.7,0.7,1,1,,,
